learning_rate,final_train_loss,final_val_loss,final_train_acc,final_val_acc,test_acc,test_loss
0.1,2.310201286239624,2.3118876304626466,0.10314,0.1061,0.1028,2.311291940689087
0.01,0.05752974001735449,0.07870567050874233,0.98276,0.9809,0.9826,0.05824882579792757
0.001,0.028295270606577397,0.0468594430975616,0.9907,0.986,0.9881,0.03786374093574705
