epoch,train_loss,train_acc,test_loss,test_acc
1,1.9210091431935628,0.16666666666666666,1.808864951133728,0.3333333333333333
2,1.6918178796768188,0.2916666666666667,1.844910979270935,0.16666666666666666
3,1.5992841720581055,0.4166666666666667,1.8353193998336792,0.16666666666666666
4,1.457024614016215,0.4166666666666667,1.8822771310806274,0.16666666666666666
5,1.3616076310475667,0.4583333333333333,1.964037299156189,0.0
