epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,test_accuracy
1,0.2748111900349464,0.09333650977795671,0.91806,0.9736,0.9773
2,0.07423202938619344,0.06662058625014344,0.97776,0.9804,0.9838
3,0.04949635210598264,0.04987517262476787,0.98496,0.9848,0.988
4,0.03705364638762197,0.05810404510109739,0.98784,0.9827,0.9833
5,0.02857685391344559,0.051558160253097514,0.9907,0.9854,0.9871
