feature_map_index,min_value,max_value,mean_value,std_value
1,-0.13146784901618958,3.696190595626831,0.2869757115840912,0.8243244886398315
2,-0.26861923933029175,3.916729211807251,0.3380805552005768,0.8466551303863525
3,-0.3475877046585083,0.6747651100158691,0.4666081964969635,0.18647713959217072
4,-1.1277735233306885,1.9530943632125854,0.407092422246933,0.35063105821609497
5,-0.06903427839279175,3.41870379447937,0.26853594183921814,0.7694984674453735
6,-0.8039923906326294,-0.07394278049468994,-0.2983372211456299,0.10843539237976074
7,-0.4936305582523346,1.4484213590621948,0.07714219391345978,0.28358688950538635
8,-0.43545618653297424,0.19824808835983276,-0.1185450330376625,0.052569225430488586
9,-1.1127796173095703,1.0263311862945557,0.035320110619068146,0.2375260889530182
10,-0.5780324935913086,-0.03767971694469452,-0.2693455219268799,0.07088612765073776
11,-0.4775986969470978,1.6898866891860962,0.21693384647369385,0.3287707567214966
12,-1.5207903385162354,-0.1701037436723709,-0.37409600615501404,0.28274935483932495
13,-0.2759212851524353,0.7307794094085693,0.4585903286933899,0.16023191809654236
14,-0.8206747770309448,0.4845673739910126,0.34764641523361206,0.2904573082923889
15,-0.9145639538764954,1.9328911304473877,0.058473777025938034,0.39410361647605896
16,-0.9430631995201111,-0.13894280791282654,-0.2593078315258026,0.177069291472435
