optimizer,final_train_loss,final_val_loss,final_train_acc,final_val_acc,test_acc,test_loss
SGD,0.15391473615407944,0.18784808634519576,0.95308,0.9429,0.9479,0.16717185165584086
SGD + Momentum,0.0380477964605391,0.05068773484379053,0.98802,0.9855,0.9884,0.03792630443368107
Adam,0.028295270606577397,0.0468594430975616,0.9907,0.986,0.9881,0.03786374093574705
