0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
0.8414709848,0.5403023059,0.3109835929,0.9504152803,0.0998334166,0.9950041653,0.0316175064,0.9995000417,0.0099998333,0.9999500004,0.0031622724,0.9999950000,0.0009999998,0.9999995000,0.0003162278,0.9999999500
0.9092974268,-0.4161468365,0.5911271172,0.8065784099,0.1986693308,0.9800665778,0.0632033979,0.9980006666,0.0199986667,0.9998000067,0.0063245132,0.9999800001,0.0019999987,0.9999980000,0.0006324555,0.9999998000
0.1411200081,-0.9899924966,0.8126488966,0.5827536107,0.2955202067,0.9553364891,0.0947260913,0.9955033740,0.0299955002,0.9995500337,0.0094866907,0.9999550003,0.0029999955,0.9999955000,0.0009486832,0.9999995500
-0.7568024953,-0.6536436209,0.9535807405,0.3011374626,0.3894183423,0.9210609940,0.1261540665,0.9920106610,0.0399893342,0.9992001067,0.0126487733,0.9999200011,0.0039999893,0.9999920000,0.0012649107,0.9999992000
-0.9589242747,0.2836621855,0.9999465168,-0.0103423189,0.4794255386,0.8775825619,0.1574558982,0.9875260200,0.0499791693,0.9987502604,0.0158107295,0.9998750026,0.0049999792,0.9999875000,0.0015811382,0.9999987500
-0.2794154982,0.9601702867,0.9471481575,-0.3207964584,0.5646424734,0.8253356149,0.1886002871,0.9820539352,0.0599640065,0.9982005399,0.0189725276,0.9998200054,0.0059999640,0.9999820001,0.0018973655,0.9999982000
0.6569865987,0.7539022543,0.8004216463,-0.5994373930,0.6442176872,0.7648421873,0.2195560914,0.9755998784,0.0699428473,0.9975510003,0.0221341359,0.9997550100,0.0069999428,0.9999755001,0.0022135926,0.9999975500
0.9893582466,-0.1455000338,0.5743177691,-0.8186324573,0.7173560909,0.6967067093,0.2502923579,0.9681703030,0.0799146940,0.9968017063,0.0252955229,0.9996800171,0.0079999147,0.9999680002,0.0025298194,0.9999968000
0.4121184852,-0.9111302619,0.2912591207,-0.9566441996,0.7833269096,0.6216099683,0.2807783529,0.9597726380,0.0898785492,0.9959527330,0.0284566569,0.9995950273,0.0089998785,0.9999595003,0.0028460461,0.9999959500
