kernel_index,min_value,max_value,mean_value,std_value
1,-0.17596974968910217,0.901655912399292,0.45042431354522705,0.35276007652282715
2,-0.362312912940979,0.7186335921287537,0.42616721987724304,0.3253059387207031
3,-0.26688775420188904,0.2035936415195465,-0.09366998821496964,0.1435757279396057
4,-0.7296498417854309,0.48279473185539246,4.5418739318847656e-05,0.43395113945007324
5,0.016603097319602966,0.8768701553344727,0.4063379168510437,0.27343130111694336
6,-0.329969584941864,0.27364903688430786,-0.041096583008766174,0.20610274374485016
7,-0.4015750288963318,0.3892708122730255,0.09254494309425354,0.27430954575538635
8,-0.1965963989496231,0.30540210008621216,0.0071904659271240234,0.19254493713378906
9,-0.5209363102912903,0.5911885499954224,0.0011182096786797047,0.3688867390155792
10,-0.2588476240634918,0.20452727377414703,-0.022341594099998474,0.17798058688640594
11,-0.2809695303440094,0.5740944147109985,0.12675535678863525,0.3048416078090668
12,-0.3225315511226654,0.08326788991689682,-0.1558157205581665,0.13121089339256287
13,-0.3201145827770233,0.32676801085472107,-0.07242553681135178,0.20989201962947845
14,-0.31127044558525085,-0.04188363999128342,-0.16481365263462067,0.08094340562820435
15,-0.3894849419593811,0.6981129050254822,0.12143433094024658,0.390905499458313
16,-0.3314034640789032,0.24733178317546844,-0.09502565115690231,0.19680330157279968
